범죄대분류,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
범죄중분류,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
경기 파주,1,3,3,46,10,125,2,8,1207,161,1249,16,203,4,39,39,521,4,6,0,5,87,2,3184,653,42,224,23,489,58,100,79,2267,3,3,12,63,1842
경기 평택,3,5,6,67,7,177,3,22,2344,313,1912,9,300,1,84,129,936,13,11,4,4,118,0,4368,611,45,290,38,591,127,229,168,5276,8,2,16,56,5779
경기 포천,1,1,0,15,1,48,1,7,418,97,346,2,56,1,17,13,184,6,6,2,2,34,0,901,118,6,57,17,116,81,17,92,1042,1,0,8,24,689
경기 하남,1,3,5,22,4,50,1,5,786,36,566,5,93,2,27,41,284,9,8,2,1,35,0,1501,557,11,109,23,200,42,74,14,1121,1,1,4,23,919
경기 화성,6,5,4,53,10,186,1,16,2512,282,2153,12,400,2,90,107,808,21,22,1,2,147,0,3670,697,62,296,49,718,147,193,464,4615,7,3,12,56,3350
강원 강릉,2,3,2,30,8,72,1,3,632,169,482,2,84,1,29,21,252,3,9,1,1,46,2,1054,208,17,72,9,118,10,79,2,1340,1,3,7,25,831
강원 동해,2,1,4,3,2,17,0,1,222,75,250,0,32,0,19,10,123,3,0,1,1,8,0,255,54,1,19,8,73,10,26,12,312,1,0,5,14,522
강원 삼척,1,0,2,8,1,20,0,2,222,58,154,0,32,0,8,5,94,2,1,1,0,6,0,352,56,3,12,8,45,6,19,5,338,2,0,3,1,353
강원 속초,0,0,1,15,1,32,1,1,239,72,284,4,54,0,16,10,126,1,3,0,7,18,0,859,83,4,41,12,105,12,50,6,423,1,0,5,6,423
강원 원주,3,0,1,35,8,80,3,7,1250,207,686,7,130,6,54,25,466,5,4,0,1,78,1,2450,262,22,133,20,253,63,123,13,2034,3,2,29,32,1505
강원 춘천,2,2,4,35,8,74,1,9,857,146,611,4,131,2,40,60,325,10,12,0,3,79,0,1582,178,13,109,41,211,85,100,7,1577,1,0,15,7,1193
강원 태백,0,1,0,5,0,12,2,2,90,39,92,0,17,0,7,2,42,0,0,0,0,5,0,193,16,3,11,3,34,8,6,0,200,0,0,5,3,146
충북 제천,0,2,2,18,0,34,1,3,383,112,255,3,39,1,10,6,139,3,1,2,1,20,0,603,81,6,39,10,67,19,42,0,664,1,0,12,9,439
충북 청주,5,8,19,103,13,257,4,22,3435,603,1756,15,308,13,118,176,1033,18,12,1,4,165,0,5676,703,38,329,68,626,105,249,8,4297,2,0,26,41,3097
충북 충주,0,2,0,28,2,63,3,4,758,80,413,5,93,1,28,32,251,4,12,1,0,43,0,1317,139,6,71,19,268,103,65,8,1266,1,0,13,12,732
충남 계룡,0,1,0,5,1,5,0,1,75,17,22,0,7,0,3,4,23,0,1,0,3,4,0,103,18,2,5,0,8,1,3,1,85,0,0,1,2,57
충남 공주,0,0,0,7,9,17,0,7,332,84,124,1,46,0,14,18,105,2,2,0,1,24,0,553,78,11,32,5,58,45,18,4,647,2,1,4,4,385
충남 논산,0,1,0,13,1,22,2,2,383,90,188,0,30,1,17,14,119,5,14,1,1,36,0,800,67,9,18,19,71,12,10,4,698,1,0,6,19,511
충남 당진,1,4,1,19,4,51,0,6,409,81,388,3,73,0,25,15,188,4,4,0,0,26,0,667,119,18,43,18,116,30,20,2,1371,1,0,5,11,1089
충남 보령,1,0,1,25,1,31,0,2,253,71,172,3,39,0,26,9,96,2,0,0,0,18,0,444,79,8,26,6,72,30,62,3,742,3,1,2,4,1066
충남 서산,4,2,5,12,0,58,1,6,520,93,400,5,80,0,17,27,234,1,2,1,0,38,0,952,126,14,59,10,128,45,30,3,1045,0,0,8,4,656
충남 아산,3,7,3,38,3,86,1,5,1263,175,593,8,132,4,59,20,311,4,4,0,3,65,0,1421,257,21,112,12,280,33,66,4,1841,1,1,10,23,1327
충남 천안,4,13,12,95,12,213,3,8,3069,368,1329,21,245,0,86,99,794,13,17,4,2,148,0,5409,789,49,347,58,595,115,208,88,3888,2,1,39,34,2681
전북 군산,2,5,2,26,4,68,0,9,884,148,557,1,98,0,47,35,281,8,10,1,6,47,0,2127,198,17,102,26,385,18,63,5,1350,277,0,20,20,3596
전북 김제,2,3,2,3,2,12,0,3,166,56,166,3,29,0,7,13,41,4,5,1,0,13,0,377,46,6,12,5,81,3,8,4,398,0,0,3,2,236
전북 남원,0,1,0,5,0,13,2,0,232,43,196,2,37,0,17,7,71,1,2,0,2,24,0,475,48,2,17,7,39,7,19,1,321,0,1,9,1,272
