Crime Classification,Murder,Attempted murder,Robbery,Rape,Attempted rape,Sexual assault,Other sexual offenses,Arson,Theft,Assault,Battery,False imprisonment,Blackmail,Drugging,Other violent acts,Coercion,Hostile behavior,Destruction,Dereliction of duty,Abuse of authority,Bribery,Forgery,Counterfeiting,Document forgery,Securities fraud,Embezzlement,Sex crimes,Gambling offenses,Special economic crimes,Drug offenses,Health-related crimes,Environmental crimes,Traffic offenses,Labor crimes,Security crimes,Election crimes,Military service crimes,Other crimes
Gyeonggi Gwangmyeong,2,2,4,17,3,76,2,2,932,117,788,5,123,1,44,42,336,4,2,1,2,35,0,1467,319,14,142,11,238,28,59,9,928,1,0,10,18,1218
Gyeonggi Gwangju,0,3,1,18,2,81,0,5,978,130,1181,9,230,1,36,38,542,2,3,1,3,64,0,1911,349,25,122,19,344,34,120,42,2328,4,0,9,42,1453
Gyeonggi Guri,1,1,1,15,1,38,0,3,478,54,426,2,60,2,21,5,183,4,6,1,1,36,0,749,268,13,98,4,143,27,53,7,1360,0,0,16,25,878
Gyeonggi Gunpo,2,0,0,23,0,59,0,6,753,119,549,1,88,0,10,38,249,6,3,2,2,22,1,1207,200,9,120,12,382,14,50,0,785,1,1,11,18,751
Gyeonggi Gimpo,1,4,2,34,3,97,1,7,1461,122,1200,11,178,4,44,55,514,3,6,1,4,74,0,1829,659,37,174,23,420,62,72,7,2739,0,0,6,45,2240
Gyeonggi Namyangju,3,5,6,40,5,118,0,11,1420,242,1241,13,216,2,58,54,563,13,22,2,9,126,0,2967,691,56,271,30,432,92,85,43,2724,2,1,9,109,2667
Gyeonggi Dongducheon,1,1,0,12,1,45,0,3,345,81,276,4,52,1,25,13,144,2,2,0,0,30,0,595,124,3,44,3,89,18,15,6,377,0,0,8,14,486
Gyeonggi Bucheon,4,3,11,93,18,292,1,26,3423,324,2438,18,457,7,133,153,1172,31,38,1,3,150,0,5611,1161,27,419,58,939,89,271,12,3903,5,1,28,70,3883
Gyeonggi Seongnam,5,6,13,69,19,269,6,11,3050,429,2194,22,403,8,96,118,953,11,45,10,22,130,1,4169,1000,45,437,58,946,73,332,7,4106,5,1,90,82,4112
Gyeonggi Suwon,6,7,8,144,25,394,10,27,4704,390,3309,30,589,5,160,246,1599,33,67,5,10,250,2,6593,1440,53,639,647,946,211,338,12,5837,11,3,45,109,4988
Gyeonggi Siheung,1,7,8,51,12,146,3,11,1861,212,1425,16,314,3,44,55,786,11,8,0,1,104,0,3101,567,20,201,55,525,99,165,72,4071,6,2,21,48,2317
